Lake_ID,STN,Site.ID,Lake_Name,Latitude,Longitude,meanTP_yearly,Secchi.depth_avg,Lake.Area
3593,2373,1,kushog lake,45.09055556,-78.79083333,5.3,4.4,6590241.01
3594,2373,1,kushog lake,45.09055556,-78.79083333,5.4,3.7,6590241.01
3595,2373,1,kushog lake,45.09055556,-78.79083333,5.2,4.4,6590241.01
3596,2373,2,kushog lake,45.10972222,-78.80638889,6.55,4.9,6590241.01
3597,2373,2,kushog lake,45.10972222,-78.80638889,5.25,4.5,6590241.01
3598,2373,2,kushog lake,45.10972222,-78.80638889,4.45,5,6590241.01
3599,2373,2,kushog lake,45.10972222,-78.80638889,6.03,4.8,6590241.01
3600,2373,2,kushog lake,45.10972222,-78.80638889,5.09,5.8,6590241.01
3601,2373,2,kushog lake,45.10972222,-78.80638889,4.49,4.3,6590241.01
3602,2373,2,kushog lake,45.10972222,-78.80638889,3.95,4.8,6590241.01
3603,2373,2,kushog lake,45.10972222,-78.80638889,4.5,5.1,6590241.01
3604,2373,2,kushog lake,45.10972222,-78.80638889,5,4.5,6590241.01
3605,2373,2,kushog lake,45.10972222,-78.80638889,4.5,4.7,6590241.01
3606,2373,2,kushog lake,45.10972222,-78.80638889,5.6,4.7,6590241.01
3607,2373,2,kushog lake,45.10972222,-78.80638889,5.1,3.7,6590241.01
3608,2373,2,kushog lake,45.10972222,-78.80638889,4.8,4.6,6590241.01
3609,2373,3,kushog lake,45.04416667,-78.75638889,5.15,5.3,6590241.01
3610,2373,3,kushog lake,45.04416667,-78.75638889,7.25,4.3,6590241.01
3611,2373,3,kushog lake,45.04416667,-78.75638889,5.68,4.7,6590241.01
3612,2373,3,kushog lake,45.04416667,-78.75638889,4.4,5.1,6590241.01
3613,2373,3,kushog lake,45.04416667,-78.75638889,6.71,4.8,6590241.01
3614,2373,3,kushog lake,45.04416667,-78.75638889,7.02,5.8,6590241.01
3615,2373,3,kushog lake,45.04416667,-78.75638889,4.85,3.5,6590241.01
3616,2373,3,kushog lake,45.04416667,-78.75638889,5.9,5,6590241.01
3617,2373,3,kushog lake,45.04416667,-78.75638889,6.3,4.7,6590241.01
3618,2373,3,kushog lake,45.04416667,-78.75638889,5.9,4.6,6590241.01
3619,2373,3,kushog lake,45.04416667,-78.75638889,6,3.7,6590241.01
3620,2373,3,kushog lake,45.04416667,-78.75638889,6.9,4,6590241.01
3621,2373,3,kushog lake,45.04416667,-78.75638889,6.1,3.4,6590241.01
3622,2373,3,kushog lake,45.04416667,-78.75638889,5.1,3.9,6590241.01
3623,2373,4,kushog lake,45.05861111,-78.75833333,5.66,4.3,6590241.01
3624,2373,4,kushog lake,45.05861111,-78.75833333,4.67,4.7,6590241.01
3625,2373,4,kushog lake,45.05861111,-78.75833333,5.95,4.6,6590241.01
3626,2373,4,kushog lake,45.05861111,-78.75833333,6.47,5.7,6590241.01
3627,2373,4,kushog lake,45.05861111,-78.75833333,5.65,3.4,6590241.01
3628,2373,4,kushog lake,45.05861111,-78.75833333,5.25,4.7,6590241.01
3629,2373,4,kushog lake,45.05861111,-78.75833333,8.3,4.7,6590241.01
3630,2373,4,kushog lake,45.05861111,-78.75833333,6,4.5,6590241.01
3631,2373,4,kushog lake,45.05861111,-78.75833333,5,3.7,6590241.01
3632,2373,4,kushog lake,45.05861111,-78.75833333,6.7,4.1,6590241.01
3633,2373,4,kushog lake,45.05861111,-78.75833333,6.1,3.3,6590241.01
3634,2373,4,kushog lake,45.05861111,-78.75833333,5.1,3.8,6590241.01
3635,2382,1,lamable lake,45.01777778,-77.81472222,9.95,6.7,3076.88
3636,2382,1,lamable lake,45.01777778,-77.81472222,7.4,7.2,3076.88
3637,2382,1,lamable lake,45.01777778,-77.81472222,5.55,6.5,3076.88
3638,2382,1,lamable lake,45.01777778,-77.81472222,3.95,7.4,3076.88
3639,2382,1,lamable lake,45.01777778,-77.81472222,4,7.9,3076.88
3640,2382,1,lamable lake,45.01777778,-77.81472222,5.9,7.5,3076.88
3641,2382,1,lamable lake,45.01777778,-77.81472222,6.35,8,3076.88
3642,2382,1,lamable lake,45.01777778,-77.81472222,5.4,8.2,3076.88
3643,2382,1,lamable lake,45.01777778,-77.81472222,5.4,8,3076.88
3644,2382,1,lamable lake,45.01777778,-77.81472222,5,7.9,3076.88
3645,2382,1,lamable lake,45.01777778,-77.81472222,4.7,7.6,3076.88
3646,2382,1,lamable lake,45.01777778,-77.81472222,5.1,6.8,3076.88
3647,2382,1,lamable lake,45.01777778,-77.81472222,3.6,7.5,3076.88
3648,2382,1,lamable lake,45.01777778,-77.81472222,4.8,7.5,3076.88
3649,2453,1,lake clear,45.42638889,-77.16861111,11,5.6,131541.32
3650,2453,1,lake clear,45.42638889,-77.16861111,9.8,7.6,131541.32
3651,2453,1,lake clear,45.42638889,-77.16861111,7.6,6.9,131541.32
