Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,1990,4.9
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,1991,5.8
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,1992,6.2
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,1993,5.2
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,1994,4.9
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,1995,5.6
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,1998,5.5
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,1999,6.2
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2000,4.6
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2001,6
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2002,4.8
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2003,6.1
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2004,4.8
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2005,5.6
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2006,5
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2007,4.9
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2008,5.1
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2009,5.1
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2012,6
ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2014,5.1
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,1990,5
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,1991,5.8
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,1992,6.8
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,1993,5.2
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,1994,5
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,1995,5.1
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,1998,4.5
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,1999,6.1
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2000,4.6
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2001,6.2
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2002,4.9
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2003,5.9
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2004,5
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2005,5.5
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2006,5
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2007,5.5
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2008,5
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2009,5.3
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2012,5.9
ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2014,4.9
ARDOCH LAKE,2776,1,44.93138889,-76.86277778,2004,11
ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2010,6.8
ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2011,5.6
ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2012,5.5
ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2013,5.9
ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2014,5.7
ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2015,5.5
ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2016,6.4
ARGYLE LAKE,7412,1,48.04527778,-80.86166667,2005,2.3
ARGYLE LAKE,7412,2,48.035,-80.85555556,2005,2.3
ARMISHAW LAKE,5041,1,45.23361111,-79.77305556,2012,5.5
ARMSTRONG LAKE,120,1,49.97166667,-94.38333333,1999,4.8
ARMSTRONG LAKE,120,1,49.97166667,-94.38333333,2000,4.3
ARMSTRONG LAKE,120,1,49.97166667,-94.38333333,2001,4.6
ARMSTRONG LAKE,120,1,49.97166667,-94.38333333,2002,4.7
ARMSTRONG LAKE,120,1,49.97166667,-94.38333333,2003,5.1
ARMSTRONG LAKE,120,1,49.97166667,-94.38333333,2004,4.7
ARMSTRONG LAKE,120,1,49.97166667,-94.38333333,2005,4.5
ARMSTRONG LAKE,120,1,49.97166667,-94.38333333,2006,5.2
ARMSTRONG LAKE,7452,1,46.53055556,-81.55833333,2007,5.2
ARMSTRONG LAKE,7452,1,46.53055556,-81.55833333,2008,4.3
ARMSTRONG LAKE,7452,1,46.53055556,-81.55833333,2009,4.1
ARMSTRONG LAKE,7452,1,46.53055556,-81.55833333,2010,5.2
ARMSTRONG LAKE,7452,1,46.53055556,-81.55833333,2011,5
ARMSTRONG LAKE,7452,1,46.53055556,-81.55833333,2012,5.1
ARMSTRONG LAKE,7452,1,46.53055556,-81.55833333,2013,4.4
ARMSTRONG LAKE,7452,1,46.53055556,-81.55833333,2014,4.4
ARMSTRONG LAKE,7452,1,46.53055556,-81.55833333,2015,4.7
ARMSTRONG LAKE,7452,1,46.53055556,-81.55833333,2016,4.5
ARNOTT LAKE,123,1,49.59777778,-84.59972222,2015,5.5
ARROW LAKE,125,2,48.14805556,-90.31972222,2004,7.8
ARROW LAKE,125,2,48.14805556,-90.31972222,2005,8
ARROW LAKE,125,3,48.14555556,-90.31583333,2012,8
ARROW LAKE,125,4,48.16611111,-90.24333333,2012,6.5
ARROW LAKE,125,5,48.17361111,-90.20138889,2012,5.5
ARROW LAKE,125,6,48.17166667,-90.16972222,2012,6.1
ASHBY LAKE,131,2,45.09444444,-77.3625,1996,5.4
ASHBY LAKE,131,2,45.09444444,-77.3625,2002,5.1
ASHBY LAKE,131,2,45.09444444,-77.3625,2003,5.8
ASHBY LAKE,131,2,45.09444444,-77.3625,2004,5.3
ASHBY LAKE,131,2,45.09444444,-77.3625,2005,5.5
ASHBY LAKE,131,2,45.09444444,-77.3625,2006,5.3
ASHBY LAKE,131,2,45.09444444,-77.3625,2007,5.1
ASHBY LAKE,131,2,45.09444444,-77.3625,2008,5.1
ASHBY LAKE,131,2,45.09444444,-77.3625,2009,5.4
ASHBY LAKE,131,2,45.09444444,-77.3625,2010,5.6
ASHBY LAKE,131,2,45.09444444,-77.3625,2011,5.4
ASHBY LAKE,131,2,45.09444444,-77.3625,2012,5.6
ASHBY LAKE,131,2,45.09444444,-77.3625,2013,5.5
ASHBY LAKE,131,2,45.09444444,-77.3625,2014,5.1
ASHBY LAKE,131,2,45.09444444,-77.3625,2015,5.4
ASHBY LAKE,131,2,45.09444444,-77.3625,2016,5.4
ASHBY LAKE,131,3,45.09083333,-77.3525,1997,6.5
ASHBY LAKE,131,3,45.09083333,-77.3525,1998,6.1
ASHBY LAKE,131,3,45.09083333,-77.3525,1999,5.8
ASHBY LAKE,131,3,45.09083333,-77.3525,2000,5.1
ASHBY LAKE,131,3,45.09083333,-77.3525,2001,5.6
ASHBY LAKE,131,3,45.09083333,-77.3525,2002,5.2
ASHBY LAKE,131,3,45.09083333,-77.3525,2003,5.9
