Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg,d,m,s,d_long,m_long,s_long
ALLEN LAKE,6114,1,450725,781510,2006,5.6,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2007,5.9,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2008,6.1,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2009,5.9,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2010,6.1,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2011,5.7,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2012,5.9,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2013,6.2,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2014,6,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2015,6.2,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2016,6.5,45,07,25,78,15,10
ALLEN LAKE,6114,2,450718,781501,2014,4.5,45,07,18,78,15,01
ALLUMETTE LAKE (OTTAWA R),3162,1,455132,771112,1999,2,45,51,32,77,11,12
ANIMOOSH LAKE,88,1,454619,780817,2002,4.3,45,46,19,78,08,17
ANSTRUTHER LAKE,96,1,444518,781140,1990,4.9,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,1991,5.8,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,1992,6.2,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,1993,5.2,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,1994,4.9,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,1995,5.6,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,1998,5.5,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,1999,6.2,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2000,4.6,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2001,6,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2002,4.8,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2003,6.1,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2004,4.8,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2005,5.6,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2006,5,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2007,4.9,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2008,5.1,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2009,5.1,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2012,6,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2014,5.1,44,45,18,78,11,40
ANSTRUTHER LAKE,96,2,444407,781355,1990,5,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,1991,5.8,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,1992,6.8,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,1993,5.2,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,1994,5,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,1995,5.1,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,1998,4.5,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,1999,6.1,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2000,4.6,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2001,6.2,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2002,4.9,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2003,5.9,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2004,5,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2005,5.5,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2006,5,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2007,5.5,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2008,5,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2009,5.3,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2012,5.9,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2014,4.9,44,44,07,78,13,55
ARDOCH LAKE,2776,1,445553,765146,2004,11,44,55,53,76,51,46
ARDOCH LAKE,2776,2,445551,765152,2010,6.8,44,55,51,76,51,52
ARDOCH LAKE,2776,2,445551,765152,2011,5.6,44,55,51,76,51,52
ARDOCH LAKE,2776,2,445551,765152,2012,5.5,44,55,51,76,51,52
ARDOCH LAKE,2776,2,445551,765152,2013,5.9,44,55,51,76,51,52
ARDOCH LAKE,2776,2,445551,765152,2014,5.7,44,55,51,76,51,52
ARDOCH LAKE,2776,2,445551,765152,2015,5.5,44,55,51,76,51,52
ARDOCH LAKE,2776,2,445551,765152,2016,6.4,44,55,51,76,51,52
ARGYLE LAKE,7412,1,480243,805142,2005,2.3,48,02,43,80,51,42
ARGYLE LAKE,7412,2,480206,805120,2005,2.3,48,02,06,80,51,20
ARMISHAW LAKE,5041,1,451401,794623,2012,5.5,45,14,01,79,46,23
ARMSTRONG LAKE,120,1,495818,942300,1999,4.8,49,58,18,94,23,00
ARMSTRONG LAKE,120,1,495818,942300,2000,4.3,49,58,18,94,23,00
ARMSTRONG LAKE,120,1,495818,942300,2001,4.6,49,58,18,94,23,00
ARMSTRONG LAKE,120,1,495818,942300,2002,4.7,49,58,18,94,23,00
ARMSTRONG LAKE,120,1,495818,942300,2003,5.1,49,58,18,94,23,00
ARMSTRONG LAKE,120,1,495818,942300,2004,4.7,49,58,18,94,23,00
ARMSTRONG LAKE,120,1,495818,942300,2005,4.5,49,58,18,94,23,00
ARMSTRONG LAKE,120,1,495818,942300,2006,5.2,49,58,18,94,23,00
ARMSTRONG LAKE,7452,1,463150,813330,2007,5.2,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2008,4.3,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2009,4.1,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2010,5.2,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2011,5,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2012,5.1,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2013,4.4,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2014,4.4,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2015,4.7,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2016,4.5,46,31,50,81,33,30
ARNOTT LAKE,123,1,493552,843559,2015,5.5,49,35,52,84,35,59
ARROW LAKE,125,2,480853,901911,2004,7.8,48,08,53,90,19,11
ARROW LAKE,125,2,480853,901911,2005,8,48,08,53,90,19,11
ARROW LAKE,125,3,480844,901857,2012,8,48,08,44,90,18,57
ARROW LAKE,125,4,480958,901436,2012,6.5,48,09,58,90,14,36
ARROW LAKE,125,5,481025,901205,2012,5.5,48,10,25,90,12,05
ARROW LAKE,125,6,481018,901011,2012,6.1,48,10,18,90,10,11
ASHBY LAKE,131,2,450540,772145,1996,5.4,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2002,5.1,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2003,5.8,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2004,5.3,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2005,5.5,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2006,5.3,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2007,5.1,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2008,5.1,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2009,5.4,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2010,5.6,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2011,5.4,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2012,5.6,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2013,5.5,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2014,5.1,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2015,5.4,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2016,5.4,45,05,40,77,21,45
ASHBY LAKE,131,3,450527,772109,1997,6.5,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,1998,6.1,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,1999,5.8,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2000,5.1,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2001,5.6,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2002,5.2,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2003,5.9,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2004,5.3,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2005,5.5,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2006,5.2,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2007,5.3,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2008,5.3,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2009,5.6,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2010,5.9,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2011,5.3,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2012,5.7,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2013,5.4,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2014,5.2,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2015,5.4,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2016,5.3,45,05,27,77,21,09
