Lake.Name,STN,Latitude,Longitude,Site.ID,Year,meanTP_yearly
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2005,13.85
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2006,11.25
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2007,19.3
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2008,18.15
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2009,13.45
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2010,14.7
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2011,12.9
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2012,16.7
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2013,12.7
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2014,12.8
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2015,12
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2016,14.2
AUSTIN LAKE,6932,49.88611111,-94.375,2,2005,18.35
AUSTIN LAKE,6932,49.88611111,-94.375,2,2014,13.7
AUSTIN LAKE,6932,49.88611111,-94.375,2,2015,14.5
AUSTIN LAKE,6932,49.88611111,-94.375,2,2016,17.2
AYLEN LAKE,160,45.61666667,-77.85,1,2002,5.45
AYLEN LAKE,160,45.61666667,-77.85,1,2003,1.55
AYLEN LAKE,160,45.61666667,-77.85,1,2004,6.95
BABY LAKE,163,45.2625,-79.77611111,1,2003,6.3
BABY LAKE,163,45.20333333,-79.79,2,2010,6.25
BABY LAKE,163,45.20333333,-79.79,2,2012,5.3
BABY LAKE,163,45.20333333,-79.79,2,2014,6.8
BABY LAKE,163,45.20333333,-79.79,2,2016,16.2
BACK LAKE,165,45.31083333,-79.91611111,1,2012,6.8
BACK LAKE,165,45.31083333,-79.91611111,1,2013,8.9
BACK LAKE,165,45.31083333,-79.91611111,1,2015,7.7
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2002,13.4
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2003,19.2
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2004,9.7
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2005,14.35
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2006,11.85
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2007,8.25
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2008,11.05
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2009,14.25
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2010,15.6
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2011,13.6
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2012,13.7
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2013,32.3
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2014,26.3
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2015,30.8
BAGOT LONG LAKE,171,45.2375,-76.64861111,1,2016,12.1
BAIE FINE,7380,46.01333333,-81.64777778,2,2014,5.6
BAIE FINE,7380,46.02777778,-81.56194444,3,2014,5
BAIE FINE,7380,46.02777778,-81.56194444,3,2015,3.9
BAIE FINE,7380,46.03611111,-81.5175,4,2014,5
BAIE FINE,7380,46.03611111,-81.5175,4,2015,4.3
BAIE FINE,7380,46.04583333,-81.50222222,5,2015,6.7
BAKER LAKE (NL),178,48.43333333,-81.43861111,1,2006,4.65
BAKER LAKE (NL),178,48.43333333,-81.43861111,1,2007,3.75
BAKER LAKE (NL),178,48.43333333,-81.43861111,1,2012,4.4
BAKER LAKE (NL),178,48.43083333,-81.43805556,2,2006,5.35
BAKER LAKE (NL),178,48.43083333,-81.43805556,2,2007,4.3
BAKER LAKE (NL),178,48.43083333,-81.43805556,2,2012,3.2
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2002,12.75
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2003,12.90833333
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2004,10.15
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2005,9.583333333
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2006,13.12857143
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2007,11.73333333
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2008,15.625
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2009,10.5
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2010,11.68
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2011,11.325
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2012,9.14
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2013,9.666666667
