ID,Latitude,Longitude,Lake_ID,shortest_distance
90,44.91417684,-79.38025847,4877,0.009948946
91,45.02873868,-79.32274316,6217,0.04877547
92,45.00024227,-79.40625107,4873,0.017200691
93,45.05026675,-79.34093574,4889,0.055072926
94,44.92288692,-79.3761927,2885,0.007591457
95,44.92709948,-79.38388191,4877,0.005362555
96,45.04417909,-79.34169992,4889,0.051543953
97,45.03633783,-79.32012938,6217,0.051714478
98,45.0404198,-79.3847152,4889,0.018553781
99,45.23031688,-78.63483367,3526,0.010285914
100,45.05260897,-78.33000069,4726,0.006275562
101,45.65430409,-79.34923127,3161,0.012628605
102,45.66585046,-79.22900107,5424,0.012361376
103,45.62076485,-79.40202782,3527,0.053247707
104,45.57148953,-79.36123542,4654,0.040592818
105,45.62083127,-79.40177531,3527,0.052991493
106,45.29935776,-79.26253845,7040,0.02531596
107,45.29979823,-79.17069547,5213,0.005567791
108,45.2987564,-79.17003847,5213,0.004399208
109,45.32458942,-79.21852029,7019,0.012313756
110,45.03348292,-79.30449679,6217,0.039610579
111,45.12408109,-78.65368683,3796,0.008280479
112,44.89605954,-79.69532164,2758,0.047184056
113,45.00766194,-77.79899203,3635,0.018702115
114,44.5115372,-78.38220374,5872,0.040287667
115,44.56120842,-77.82776038,1608,0.001705513
116,44.35573417,-78.30511006,1417,0.093144966
117,44.50401385,-78.31723645,4248,0.053794684
118,44.57558133,-78.4859001,5471,0.006997946
119,45.17681835,-79.48398333,6697,0.001931035
120,44.91686531,-78.11532364,2203,0.008206045
121,44.97537834,-78.7061952,4834,0.007227772
122,45.01153208,-78.70664815,6863,0.008445416
123,45.36648476,-79.28111024,3973,0.003803114
124,44.42064863,-78.2750339,3380,0.052926568
125,45.09939726,-79.28804579,871,0.040108897
126,45.32570072,-79.2033831,2278,0.009406083
127,45.31822841,-79.2104962,3477,0.006151583
128,45.14719403,-79.11608317,1963,0.026711669
129,44.46094698,-78.47408197,1040,0.045192098
130,44.98010149,-79.20179758,7180,0.049074949
131,44.53695432,-78.40211737,5872,0.007999523
132,45.16494578,-79.32454951,4030,0.051980841
133,44.96175085,-78.69033855,4663,0.005143766
134,44.92863375,-79.87724765,1556,0.046944192
135,44.92875726,-79.87930822,1556,0.045078487
136,44.4937041,-78.41881504,1040,0.041209648
137,44.74729269,-78.28912626,361,0.007697508
138,44.40579457,-78.41103186,1417,0.024012904
139,45.24571964,-79.82218287,5740,0.001599297
140,45.51582622,-79.35394538,4654,0.063431673
141,44.73434201,-78.81993434,5950,0.038057796
142,44.75619224,-78.83463958,4784,0.048656781
143,45.04960067,-79.31326426,6217,0.057931745
144,45.19481727,-79.40724219,6665,0.025491151
145,45.35293614,-79.20300788,2382,0.009556538
146,45.04721977,-78.52019352,486,0.024517138
147,45.11567013,-78.58121337,1655,0.025843417
148,44.35651977,-78.30641046,1417,0.091634192
149,45.30961246,-79.76320271,1619,0.011746975
150,44.52584506,-78.55281689,5458,0.037747001
151,45.31559559,-80.22349532,2628,0.013423487
152,45.85723131,-79.46392373,2100,0.043047001
153,45.20299145,-79.34601778,4030,0.010221374
154,44.7809137,-78.80571819,4784,0.015548106
155,44.78138419,-78.8087471,4784,0.015081985
156,45.20221264,-78.64919935,3518,0.011082156
157,45.41302151,-79.93417582,5916,0.034636678
158,45.56711388,-79.37075079,4654,0.030237999
159,45.34323684,-79.19204309,2303,0.011013761
160,45.3236312,-79.21654902,3477,0.01358911
161,45.22578744,-78.40463715,2916,0.01096127
162,44.4222999,-78.26768603,3380,0.048184466
163,45.31972447,-79.04347586,5381,0.026129405
