Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,d,m,s,d_long,m_long,s_long,,#VALUE!,,Latitude,,#VALUE!,,#VALUE!,,#VALUE!,,Longitude
ADAM'S LAKE,6931,1,444840,761255,2007,13.2,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2008,32.4,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2009,12.45,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2010,11.8,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2011,12.9,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2012,14.6,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2013,12.4,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2015,11.9,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2016,13.6,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,3,444836,774643,2010,12.4,44,48,36,77,46,43,,44.81,,44.81,,77.77861111,,77.77861111,,-77.77861111,,-77.77861111
ADAM'S LAKE,6931,3,444836,774643,2014,12,44,48,36,77,46,43,,44.81,,44.81,,77.77861111,,77.77861111,,-77.77861111,,-77.77861111
ADAM'S LAKE,6931,3,444836,774643,2015,15.2,44,48,36,77,46,43,,44.81,,44.81,,77.77861111,,77.77861111,,-77.77861111,,-77.77861111
ADAM'S LAKE,6931,3,444836,774643,2016,16.7,44,48,36,77,46,43,,44.81,,44.81,,77.77861111,,77.77861111,,-77.77861111,,-77.77861111
ADMIRAL LAKE,7363,1,481925,833300,2004,7.6,48,19,25,83,33,0,,48.32361111,,48.32361111,,83.55,,83.55,,-83.55,,-83.55
AGIMAK LAKE,7381,1,492011,914138,2004,15.75,49,20,11,91,41,38,,49.33638889,,49.33638889,,91.69388889,,91.69388889,,-91.69388889,,-91.69388889
AGIMAK LAKE,7381,1,492011,914138,2005,9.9,49,20,11,91,41,38,,49.33638889,,49.33638889,,91.69388889,,91.69388889,,-91.69388889,,-91.69388889
AGIMAK LAKE,7381,2,492211,914135,2004,12.75,49,22,11,91,41,35,,49.36972222,,49.36972222,,91.69305556,,91.69305556,,-91.69305556,,-91.69305556
AGIMAK LAKE,7381,2,492211,914135,2005,10.3,49,22,11,91,41,35,,49.36972222,,49.36972222,,91.69305556,,91.69305556,,-91.69305556,,-91.69305556
AGIMAK LAKE,7381,3,492413,914049,2004,10.85,49,24,13,91,40,49,,49.40361111,,49.40361111,,91.68027778,,91.68027778,,-91.68027778,,-91.68027778
AGIMAK LAKE,7381,3,492413,914049,2005,7.65,49,24,13,91,40,49,,49.40361111,,49.40361111,,91.68027778,,91.68027778,,-91.68027778,,-91.68027778
AGNEW LAKE,6051,1,462114,814400,2005,6.45,46,21,14,81,44,0,,46.35388889,,46.35388889,,81.73333333,,81.73333333,,-81.73333333,,-81.73333333
AGNEW LAKE,6051,1,462114,814400,2006,6,46,21,14,81,44,0,,46.35388889,,46.35388889,,81.73333333,,81.73333333,,-81.73333333,,-81.73333333
AGNEW LAKE,6051,1,462114,814400,2007,6.55,46,21,14,81,44,0,,46.35388889,,46.35388889,,81.73333333,,81.73333333,,-81.73333333,,-81.73333333
AGNEW LAKE,6051,2,462115,814405,2006,6,46,21,15,81,44,5,,46.35416667,,46.35416667,,81.73472222,,81.73472222,,-81.73472222,,-81.73472222
AGNEW LAKE,6051,2,462115,814405,2007,5.75,46,21,15,81,44,5,,46.35416667,,46.35416667,,81.73472222,,81.73472222,,-81.73472222,,-81.73472222
