ID,Date,HPI,Year,Latitude,Longitude,area,house_price,Real_price
128,2005/01,0.7,2005,45.14719403,-79.11608317,3149.85,140000,98000
129,2005/01,0.7,2005,44.46094698,-78.47408197,3586.55,89000,62300
130,2005/01,0.7,2005,44.98010149,-79.20179758,10547.97,69743,48820.1
131,2005/01,0.7,2005,44.53695432,-78.40211737,2898.56,980000,686000
132,2005/01,0.7,2005,45.16494578,-79.32454951,7979.39,204000,142800
133,2005/01,0.7,2005,44.96175085,-78.69033855,33670.55,112500,78750
134,2005/01,0.7,2005,44.92863375,-79.87724765,33204.45,399000,279300
135,2005/01,0.7,2005,44.92875726,-79.87930822,4094.39,376000,263200
136,2005/01,0.7,2005,44.4937041,-78.41881504,2263.38,359000,251300
137,2005/01,0.7,2005,44.74729269,-78.28912626,5861.73,301500,211050
138,2005/01,0.7,2005,44.40579457,-78.41103186,1519.36,139000,97300
139,2005/01,0.7,2005,45.24571964,-79.82218287,2918.92,131000,91700
140,2005/01,0.7,2005,45.51582622,-79.35394538,43021.84,170000,119000
141,2005/01,0.7,2005,44.73434201,-78.81993434,15616.59,52000,36400
142,2005/01,0.7,2005,44.75619224,-78.83463958,11353.85,97000,67900
143,2005/01,0.7,2005,45.04960067,-79.31326426,553.68,175000,122500
144,2005/01,0.7,2005,45.19481727,-79.40724219,91393.4,160000,112000
145,2005/01,0.7,2005,45.35293614,-79.20300788,608.65,145000,101500
146,2005/01,0.7,2005,45.04721977,-78.52019352,2598.21,177500,124250
147,2005/01,0.7,2005,45.11567013,-78.58121337,7265.55,307000,214900
148,2005/01,0.7,2005,44.35651977,-78.30641046,573.27,140000,98000
149,2005/01,0.7,2005,45.30961246,-79.76320271,112282.58,85520,59864
150,2005/01,0.7,2005,44.52584506,-78.55281689,6065.7,53000,37100
151,2005/01,0.7,2005,45.31559559,-80.22349532,14991.59,283000,198100
152,2005/01,0.7,2005,45.85723131,-79.46392373,66225.91,60000,42000
153,2005/01,0.7,2005,45.20299145,-79.34601778,1741.45,135000,94500
154,2005/01,0.7,2005,44.7809137,-78.80571819,5504.94,138500,96950
155,2005/01,0.7,2005,44.78138419,-78.8087471,796.69,138500,96950
156,2005/01,0.7,2005,45.20221264,-78.64919935,14710.57,5.00E+05,350000
157,2005/01,0.7,2005,45.41302151,-79.93417582,104575.63,138000,96600
158,2005/01,0.7,2005,45.56711388,-79.37075079,2296.24,95000,66500
159,2005/01,0.7,2005,45.34323684,-79.19204309,1365.81,222500,155750
160,2005/01,0.7,2005,45.3236312,-79.21654902,510.27,106000,74200
161,2005/01,0.7,2005,45.22578744,-78.40463715,2083.73,175001,122500.7
162,2005/01,0.7,2005,44.4222999,-78.26768603,17182.94,210000,147000
163,2005/01,0.7,2005,45.31972447,-79.04347586,11846.97,225000,157500
