Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,d,m,s,d_long,m_long,s_long
AKWESKWA LAKE,7590,1,481036,815415,2015,13.4,48,10,36,81,54,15
AKWESKWA LAKE,7590,1,481036,815415,2016,10,48,10,36,81,54,15
AKWESKWA LAKE,7590,2,480925,815356,2014,11.1,48,09,25,81,53,56
AKWESKWA LAKE,7590,2,480925,815356,2015,11.6,48,09,25,81,53,56
AKWESKWA LAKE,7590,2,480925,815356,2016,9.7,48,09,25,81,53,56
ALBION LAKE,5204,1,450279,775884,2015,13.7,45,02,79,77,58,84
ALCES LAKE,6113,1,464521,820822,2004,8.3,46,45,21,82,08,22
ALCOCK LAKE,7600,1,495937,943040,2014,25.6,49,59,37,94,30,40
ALCOCK LAKE,7600,1,495937,943040,2015,27.9,49,59,37,94,30,40
ALCOCK LAKE,7600,1,495937,943040,2016,28.6,49,59,37,94,30,40
ALCOCK LAKE,7600,2,494936,942936,2014,28,49,49,36,94,29,36
ALCOCK LAKE,7600,2,494936,942936,2015,34.7,49,49,36,94,29,36
ALCOCK LAKE,7600,2,494936,942936,2016,28.2,49,49,36,94,29,36
ALLAN LAKE,55,1,494104,824624,2014,19.3,49,41,04,82,46,24
ALLAN LAKE,55,1,494104,824624,2015,23.2,49,41,04,82,46,24
ALLAN LAKE,55,1,494104,824624,2016,29.1,49,41,04,82,46,24
ALLAN LAKE,55,2,494021,824443,2014,30.7,49,40,21,82,44,43
ALLAN LAKE,55,2,494021,824443,2015,25.9,49,40,21,82,44,43
ALLAN LAKE,55,2,494021,824443,2016,22.1,49,40,21,82,44,43
ALLEN LAKE,6114,1,450725,781510,2002,10,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2003,5.35,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2004,5.35,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2005,4.9,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2006,9.75,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2007,5.875,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2008,6.65,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2009,6.15,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2010,5.1,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2011,9.7,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2012,5.8,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2013,6,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2014,7.2,45,07,25,78,15,10
